ssl_score,age_curr,idoc_res_zip_code,sex_code_cd,race_code_cd,majority_dist,latest_dist_res
306,20-30,De-identified,M,WWH,De-identified,31
352,20-30,De-identified,M,BLK,6,31
349,20-30,De-identified,M,BLK,De-identified,31
344,20-30,De-identified,M,WHI,De-identified,31
343,20-30,De-identified,M,BLK,De-identified,31
342,20-30,De-identified,F,BLK,De-identified,5
334,20-30,De-identified,M,BLK,De-identified,31
306,20-30,De-identified,M,WWH,De-identified,31
333,20-30,De-identified,F,BLK,De-identified,31
331,20-30,De-identified,M,WWH,De-identified,31
330,20-30,De-identified,M,BLK,De-identified,31
306,20-30,De-identified,M,WHI,De-identified,31
327,20-30,De-identified,F,WHI,De-identified,31
327,20-30,De-identified,M,WHI,De-identified,31
326,20-30,De-identified,M,WWH,De-identified,31
325,20-30,De-identified,F,BLK,De-identified,31
325,20-30,De-identified,M,WWH,De-identified,31
324,20-30,De-identified,F,BLK,De-identified,31
323,20-30,De-identified,M,WHI,De-identified,31
322,20-30,De-identified,F,WWH,De-identified,31
321,20-30,De-identified,M,BLK,De-identified,31
320,20-30,De-identified,M,WWH,De-identified,31
317,20-30,De-identified,F,BLK,De-identified,31
316,20-30,De-identified,M,BLK,De-identified,31
313,20-30,De-identified,M,BLK,De-identified,31
305,20-30,De-identified,F,WHI,De-identified,31
311,20-30,De-identified,F,WHI,De-identified,31
305,20-30,De-identified,F,WHI,De-identified,31
310,20-30,De-identified,M,WHI,De-identified,31
310,20-30,De-identified,F,BLK,De-identified,31
310,20-30,De-identified,M,API,De-identified,31
305,20-30,De-identified,F,WHI,De-identified,31
310,20-30,De-identified,M,WWH,12,31
309,20-30,De-identified,M,WWH,De-identified,31
309,20-30,De-identified,F,WWH,De-identified,31
305,20-30,De-identified,F,WHI,De-identified,31
307,20-30,De-identified,F,U,De-identified,31
306,20-30,De-identified,M,WWH,De-identified,31
294,30-40,De-identified,F,WHI,De-identified,31
302,20-30,De-identified,F,WWH,De-identified,31
301,20-30,De-identified,M,WWH,De-identified,25
299,20-30,De-identified,F,WWH,De-identified,31
299,20-30,De-identified,M,BLK,De-identified,31
298,20-30,De-identified,M,WWH,De-identified,31
294,30-40,De-identified,M,BLK,De-identified,25
296,20-30,De-identified,M,WWH,De-identified,31
294,30-40,De-identified,M,WHI,De-identified,31
294,30-40,De-identified,M,WHI,De-identified,31
294,20-30,De-identified,M,WWH,De-identified,31
294,30-40,De-identified,F,WHI,De-identified,31
294,30-40,De-identified,M,WWH,De-identified,31
290,20-30,De-identified,F,BLK,De-identified,31
288,30-40,De-identified,M,WHI,De-identified,10
288,20-30,De-identified,F,WHI,De-identified,31
286,30-40,De-identified,M,WWH,De-identified,20
286,30-40,De-identified,M,WHI,De-identified,31
284,30-40,De-identified,M,BLK,3,31
283,30-40,De-identified,M,WWH,De-identified,31
283,30-40,De-identified,F,WWH,De-identified,31
283,30-40,De-identified,M,BLK,De-identified,31
283,30-40,De-identified,M,BLK,De-identified,31
282,30-40,De-identified,F,BLK,De-identified,31
281,30-40,De-identified,M,WHI,De-identified,31
276,30-40,De-identified,M,WHI,De-identified,31
281,30-40,De-identified,F,WWH,De-identified,31
280,30-40,De-identified,M,WHI,De-identified,24
278,30-40,De-identified,M,WWH,De-identified,31
278,30-40,De-identified,M,BLK,15,11
277,30-40,De-identified,M,WWH,De-identified,31
277,30-40,De-identified,M,WHI,De-identified,31
275,30-40,De-identified,M,WWH,De-identified,31
275,30-40,De-identified,M,WHI,De-identified,31
274,30-40,De-identified,F,BLK,De-identified,31
